team,winrate
bos,56.89922480620155
stl,56.69291338582677
pit,56.4873417721519
wsh,55.99369085173501
tb,55.72998430141287
vgk,54.75409836065573
nyr,54.37499999999999
nsh,54.00313971742543
car,52.74725274725275
min,51.702786377708975
la,50.78369905956113
wpg,50.4746835443038
dal,50.313479623824456
ana,50.080000000000005
cgy,50.07898894154819
col,50.078492935635786
utah,50.0
fla,49.528301886792455
van,49.441786283891545
tor,49.21383647798742
ott,48.21150855365474
nyi,47.987616099071204
cbj,47.94952681388013
phi,47.94952681388013
edm,47.874015748031496
chi,46.5818759936407
sj,45.852895148669795
nj,45.70982839313572
det,45.05494505494506
mtl,44.339622641509436
ari,43.624161073825505
buf,43.39622641509434
sea,42.68292682926829
