season,favorite_roi,underdog_roi
2009,0.34965034965034963,-1.0
2013,0.3597122302158273,-1.0
2014,0.2801120448179272,-1.0
2015,-0.08997246647126744,0.14666666666666664
2016,0.35300951041504686,-1.0
2017,-0.041396339601119436,0.01571428571428573
2018,0.11089608095643656,-0.4121739130434783
2019,-0.06342302558327148,0.03093750000000002
2020,0.18857423100468293,-0.6411111111111111
2021,-0.19187617075815835,0.35
2022,-0.29104186409735594,0.6352941176470589
2023,0.1477593179090795,-0.4769230769230769
2024,-0.03864763887455282,0.03571428571428571
2025,-0.10486617936368,0.126
