season,mlb,nba,nfl,nhl
2008,57.207615593834994,,,
2009,54.945968412302584,64.54545454545455,61.98347107438017,57.14285714285714
2010,56.18257261410788,62.64274061990211,56.69291338582677,54.26229508196722
2011,52.400662251655625,62.02321724709784,57.48031496062992,52.864157119476275
2012,52.02312138728323,58.78787878787879,59.375,56.209150326797385
2013,54.95049504950495,60.586319218241044,58.26771653543307,56.30252100840336
2014,50.99173553719009,57.16612377850163,62.20472440944882,54.071661237785015
2015,53.852526926263465,53.25732899022802,59.055118110236215,55.67190226876091
2016,51.94054500412882,58.86178861788618,58.59375,54.146341463414636
2017,54.46280991735537,57.74877650897226,57.936507936507944,57.817589576547235
2018,51.362510322047896,57.91190864600326,53.90625,57.43670886075949
2019,52.85832642916321,60.586319218241044,60.8,53.31230283911672
2020,53.2258064516129,57.088846880907376,49.2063492063492,54.629629629629626
2021,55.73221757322175,53.70370370370371,51.181102362204726,51.73210161662818
2022,51.650165016501646,54.56026058631922,47.76119402985074,55.41984732824427
2023,52.199170124481334,60.8130081300813,55.72519083969466,52.44648318042814
2024,53.349875930521094,58.032786885245905,55.639097744360896,53.20121951219512
2025,54.40199335548173,53.858784893267654,51.8796992481203,54.351145038167935
